,loss,accuracy,dice_coef_3Class,one_hot_mean_io_u,val_loss,val_accuracy,val_dice_coef_3Class,val_one_hot_mean_io_u,lr
0,0.1232827827334404,0.9494702219963074,0.5797149538993835,0.5115041732788086,0.11159920692443848,0.9598208069801331,0.5932880640029907,0.5467619895935059,1e-04
1,0.059686366468667984,0.9787377119064331,0.7105527520179749,0.7028112411499023,0.07650715112686157,0.9719946384429932,0.688154935836792,0.6786162257194519,1e-04
2,0.046685926616191864,0.9833669066429138,0.7690397500991821,0.7672170996665955,0.05328453704714775,0.9809061884880066,0.7228827476501465,0.7207319736480713,1e-04
3,0.03964848816394806,0.9856948852539062,0.7983325123786926,0.7980206608772278,0.04830050840973854,0.9829210638999939,0.7644482851028442,0.7911360263824463,1e-04
4,0.034270938485860825,0.9875055551528931,0.8214976191520691,0.820410966873169,0.039241280406713486,0.9855018854141235,0.787902295589447,0.7939051985740662,1e-04
5,0.03066188283264637,0.9887073636054993,0.8374270796775818,0.8368218541145325,0.03540680557489395,0.9870378375053406,0.819772481918335,0.8324139714241028,1e-04
6,0.027965135872364044,0.9896044135093689,0.8495373129844666,0.8494541049003601,0.0325983390212059,0.9879087805747986,0.8342747688293457,0.8402745723724365,1e-04
7,0.02585984393954277,0.9903551340103149,0.8595019578933716,0.8581418395042419,0.031745150685310364,0.9885040521621704,0.8287617564201355,0.8438229560852051,1e-04
8,0.023969098925590515,0.9909681081771851,0.8686042428016663,0.8672909736633301,0.030291011556982994,0.9888849258422852,0.841670572757721,0.8562536239624023,1e-04
9,0.022464996203780174,0.9914605617523193,0.875049352645874,0.874627411365509,0.02757193334400654,0.9895330667495728,0.8565834760665894,0.866084098815918,1e-04
10,0.021987242624163628,0.991669774055481,0.8786481618881226,0.8764209151268005,0.024083677679300308,0.9909542202949524,0.8605191111564636,0.8750985264778137,1e-04
11,0.02092137187719345,0.9919885993003845,0.8842602372169495,0.8816585540771484,0.025510689243674278,0.990487277507782,0.8692269921302795,0.8768178820610046,1e-04
12,0.02003217302262783,0.9923015236854553,0.8860259056091309,0.8848937153816223,0.024861397221684456,0.9910847544670105,0.8572792410850525,0.8762466311454773,1e-04
13,0.01944085955619812,0.9925045371055603,0.8902652859687805,0.8871250152587891,0.05980772525072098,0.9795424342155457,0.7928591966629028,0.8007357716560364,1e-04
